brand,country,channel,store_code,store_name,expense_category,account_name,account_name_en,account_name_clean,account_level,parent_account_name,account_group_name,year,amount,source_column,source_row
M,HK,리테일,M05,LCX,직접비,7. 소모품비,7. Supplies Expense,7. 소모품비,parent,,7. 소모품비,2026,15.499169999999998,26년 합계,157
M,HK,리테일,M05,LCX,직접비,8. 통신비,8. Communication Expense,8. 통신비,parent,,8. 통신비,2022,23.387960000000003,22년 합계,158
M,HK,리테일,M05,LCX,직접비,8. 통신비,8. Communication Expense,8. 통신비,parent,,8. 통신비,2023,25.392,23년 합계,158
M,HK,리테일,M05,LCX,직접비,8. 통신비,8. Communication Expense,8. 통신비,parent,,8. 통신비,2024,7.83107,24년 합계,158
M,HK,리테일,M05,LCX,직접비,8. 통신비,8. Communication Expense,8. 통신비,parent,,8. 통신비,2025,5.6160000000000005,25년 합계,158
M,HK,리테일,M05,LCX,직접비,8. 통신비,8. Communication Expense,8. 통신비,parent,,8. 통신비,2026,6.315359999999998,26년 합계,158
M,HK,리테일,M05,LCX,직접비,9. 광고선전비,9. Advertising & Promotion,9. 광고선전비,parent,,9. 광고선전비,2022,3178.2698899999996,22년 합계,159
M,HK,리테일,M05,LCX,직접비,9. 광고선전비,9. Advertising & Promotion,9. 광고선전비,parent,,9. 광고선전비,2023,379.69219,23년 합계,159
M,HK,리테일,M05,LCX,직접비,9. 광고선전비,9. Advertising & Promotion,9. 광고선전비,parent,,9. 광고선전비,2024,15.84192,24년 합계,159
M,HK,리테일,M05,LCX,직접비,9. 광고선전비,9. Advertising & Promotion,9. 광고선전비,parent,,9. 광고선전비,2025,31.57045,25년 합계,159
M,HK,리테일,M05,LCX,직접비,9. 광고선전비,9. Advertising & Promotion,9. 광고선전비,parent,,9. 광고선전비,2026,34.77532,26년 합계,159
M,HK,리테일,M05,LCX,직접비,- Mall Coupon,- Mall Coupon,Mall Coupon,child,9. 광고선전비,9. 광고선전비,2022,3135.6000100000006,22년 합계,160
